key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code
13063,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-67089,Cummings,Jason,25,forward,FW
13064,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-27035,Baccus,Keanu,26,midfielder,MF
13065,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-09658,Courtois,Thibaut,1,goal keeper,GK
13066,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-70547,Alderweireld,Toby,2,defender,DF
13067,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-75820,Theate,Arthur,3,defender,DF
13068,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-61413,Faes,Wout,4,defender,DF
13069,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-64049,Vertonghen,Jan,5,defender,DF
13070,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-53048,Witsel,Axel,6,midfielder,MF
13071,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-48955,De Bruyne,Kevin,7,midfielder,MF
13072,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-47906,Tielemans,Youri,8,midfielder,MF
13073,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-72637,Lukaku,Romelu,9,forward,FW
13074,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-72011,Hazard,Eden,10,forward,FW
13075,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-06338,Carrasco,Yannick,11,forward,FW
13076,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-10313,Mignolet,Simon,12,goal keeper,GK
13077,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-88715,Casteels,Koen,13,goal keeper,GK
13078,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-84852,Mertens,Dries,14,forward,FW
13079,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-22930,Meunier,Thomas,15,midfielder,MF
13080,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-74337,Hazard,Thorgan,16,midfielder,MF
13081,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-95312,Trossard,Leandro,17,forward,FW
13082,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-21652,Onana,Amadou,18,midfielder,MF
13083,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-73834,Dendoncker,Leander,19,defender,DF
13084,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-81997,Vanaken,Hans,20,midfielder,MF
13085,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-56069,Castagne,Timothy,21,midfielder,MF
13086,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-61810,De Ketelaere,Charles,22,forward,FW
13087,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-13975,Batshuayi,Michy,23,forward,FW
13088,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-70691,Openda,Loïs,24,forward,FW
13089,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-29578,Doku,Jérémy,25,forward,FW
13090,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-56669,Debast,Zeno,26,defender,DF
13091,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-21531,Alisson,not applicable,1,goal keeper,GK
13092,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-40137,Danilo,not applicable,2,defender,DF
13093,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-32798,Silva,Thiago,3,defender,DF
13094,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-76060,Marquinhos,not applicable,4,defender,DF
13095,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-02305,Casemiro,not applicable,5,midfielder,MF
13096,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-97698,Sandro,Alex,6,defender,DF
13097,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-05164,Paquetá,Lucas,7,midfielder,MF
13098,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-74941,Fred,not applicable,8,midfielder,MF
13099,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-68016,Richarlison,not applicable,9,forward,FW
13100,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-87008,Neymar,not applicable,10,forward,FW
