key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code,full_name,name_norm,team_norm,has_stats,image_count,folder_path,has_image
13036,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-10739,Fernández,Enzo,24,midfielder,MF,Enzo Fernández,enzo fernandez,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Enzo Fern├índez,True
13037,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-23070,Martínez,Lisandro,25,defender,DF,Lisandro Martínez,lisandro martinez,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Lisandro Mart├¡nez,True
13038,WC-2022,2022 FIFA Men's World Cup,T-03,Argentina,ARG,P-84430,Molina,Nahuel,26,defender,DF,Nahuel Molina,nahuel molina,argentina,True,50.0,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Nahuel Molina,True
13039,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-10244,Ryan,Mathew,1,goal keeper,GK,Mathew Ryan,mathew ryan,australia,False,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Mathew Ryan (captain),True
13040,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-59727,Degenek,Miloš,2,defender,DF,Miloš Degenek,milos degenek,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Milo┼í Degenek,True
13041,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-09062,Atkinson,Nathaniel,3,defender,DF,Nathaniel Atkinson,nathaniel atkinson,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Nathaniel Atkinson,True
13042,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-88273,Rowles,Kye,4,defender,DF,Kye Rowles,kye rowles,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Kye Rowles,True
13043,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-24134,Karačić,Fran,5,defender,DF,Fran Karačić,fran karacic,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Fran Kara─ìi─ç,True
13044,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-34915,Tilio,Marco,6,forward,FW,Marco Tilio,marco tilio,australia,True,,,False
13045,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-35837,Leckie,Mathew,7,forward,FW,Mathew Leckie,mathew leckie,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Mathew Leckie,True
13046,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-97422,Wright,Bailey,8,defender,DF,Bailey Wright,bailey wright,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Bailey Wright,True
13047,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-20087,Maclaren,Jamie,9,forward,FW,Jamie Maclaren,jamie maclaren,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Jamie Maclaren,True
13048,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-82945,Hrustic,Ajdin,10,midfielder,MF,Ajdin Hrustic,ajdin hrustic,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Ajdin Hrustic,True
13049,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-61979,Mabil,Awer,11,forward,FW,Awer Mabil,awer mabil,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Awer Mabil,True
13050,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-30596,Redmayne,Andrew,12,goal keeper,GK,Andrew Redmayne,andrew redmayne,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Andrew Redmayne,True
13051,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-95847,Mooy,Aaron,13,midfielder,MF,Aaron Mooy,aaron mooy,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Aaron Mooy,True
13052,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-51406,McGree,Riley,14,midfielder,MF,Riley McGree,riley mcgree,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Riley McGree,True
13053,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-91029,Duke,Mitchell,15,forward,FW,Mitchell Duke,mitchell duke,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Mitchell Duke,True
13054,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-51118,Behich,Aziz,16,defender,DF,Aziz Behich,aziz behich,australia,False,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Aziz Behich,True
13055,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-64249,Devlin,Cameron,17,midfielder,MF,Cameron Devlin,cameron devlin,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Cameron Devlin,True
13056,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-11675,Vukovic,Danny,18,goal keeper,GK,Danny Vukovic,danny vukovic,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Danny Vukovic,True
13057,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-89217,Souttar,Harry,19,defender,DF,Harry Souttar,harry souttar,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Harry Souttar,True
13058,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-68599,Deng,Thomas,20,defender,DF,Thomas Deng,thomas deng,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Thomas Deng,True
13059,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-05864,Kuol,Garang,21,forward,FW,Garang Kuol,garang kuol,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Garang Kuol,True
13060,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-34822,Irvine,Jackson,22,midfielder,MF,Jackson Irvine,jackson irvine,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Jackson Irvine,True
13061,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-82010,Goodwin,Craig,23,forward,FW,Craig Goodwin,craig goodwin,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Craig Goodwin,True
13062,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-53409,King,Joel,24,defender,DF,Joel King,joel king,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Joel King,True
13063,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-67089,Cummings,Jason,25,forward,FW,Jason Cummings,jason cummings,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Jason Cummings,True
13064,WC-2022,2022 FIFA Men's World Cup,T-04,Australia,AUS,P-27035,Baccus,Keanu,26,midfielder,MF,Keanu Baccus,keanu baccus,australia,True,50.0,data\raw\player-images\Images\Images\Group D\Australia Players\Images_Keanu Baccus,True
13065,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-09658,Courtois,Thibaut,1,goal keeper,GK,Thibaut Courtois,thibaut courtois,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Thibaut Courtois,True
13066,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-70547,Alderweireld,Toby,2,defender,DF,Toby Alderweireld,toby alderweireld,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Toby Alderweireld,True
13067,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-75820,Theate,Arthur,3,defender,DF,Arthur Theate,arthur theate,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Arthur Theate,True
13068,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-61413,Faes,Wout,4,defender,DF,Wout Faes,wout faes,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Wout Faes,True
13069,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-64049,Vertonghen,Jan,5,defender,DF,Jan Vertonghen,jan vertonghen,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Jan Vertonghen,True
13070,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-53048,Witsel,Axel,6,midfielder,MF,Axel Witsel,axel witsel,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Axel Witsel,True
